Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/TRAVELLING	0.79260176	4.0120716	0.39548826	9.610616	0.17770925	0.6273063	
CLASSIFIED/TRAVELLING	0.8626669	2.4473066	0.35522747	9.581772	0.1978983	0.4974171	
CLASSIFIED/TRAVELLING	1.4226395	3.1923618	0.50024176	9.614954	0.27809826	0.410271	
CLASSIFIED/TRAVELLING	7.0747247	7.787924	2.4275968	9.723105	1.4392898	1.4411244	
CLASSIFIED/TRAVELLING	2.5231824	3.5882568	2.025122	9.821096	0.6531695	0.5892427	
CLASSIFIED/TRAVELLING	4.073173	4.5133834	1.4006833	9.921569	0.9121025	0.82155395	
CLASSIFIED/TRAVELLING	2.7756844	1.4581432	1.5365107	9.73269	0.7569293	0.36548316	
CLASSIFIED/TRAVELLING	2.7521725	3.7282467	0.9315835	9.820372	0.5372312	0.8450434	
CLASSIFIED/TRAVELLING	3.2678237	4.385451	1.1010898	9.797531	0.73973435	0.74281555	
CLASSIFIED/TRAVELLING	5.4243236	7.6290827	2.5241356	8.975928	1.1733407	1.2122006	
CLASSIFIED/TRAVELLING	0.8124305	2.0148144	0.2869025	9.611981	0.15025713	0.3655401	
CLASSIFIED/TRAVELLING	1.1405352	1.9583178	0.358971	9.604822	0.21619634	0.32800764	
CLASSIFIED/TRAVELLING	0.78066105	1.4419212	0.28253174	9.61067	0.16293961	0.3317578	
CLASSIFIED/TRAVELLING	0.52937883	2.191329	0.2925096	9.587746	0.1235607	0.37142673	
CLASSIFIED/TRAVELLING	0.5599977	2.4958925	0.22963957	9.580788	0.10849861	0.35073102	
CLASSIFIED/TRAVELLING	0.9751295	1.8294468	0.49806604	9.559373	0.23789793	0.37476215	
CLASSIFIED/TRAVELLING	2.2806654	1.9687576	1.2763095	9.587867	0.6711543	0.25722852	
CLASSIFIED/TRAVELLING	12.34453	14.794665	7.1625886	5.2584796	2.4942577	3.9689589	
CLASSIFIED/TRAVELLING	4.9276524	5.946179	2.6281593	9.090951	1.1768776	1.4961629	
CLASSIFIED/TRAVELLING	3.7731044	4.823654	1.3413519	10.180457	0.9360664	1.1488425	
CLASSIFIED/TRAVELLING	2.825162	5.320072	0.7781277	11.076489	0.34429842	1.9110096	
CLASSIFIED/TRAVELLING	3.87198	3.7387962	1.3571908	10.0368185	0.95758766	0.83246076	
CLASSIFIED/TRAVELLING	5.424565	7.378627	1.7531651	10.130538	1.4023069	1.667036	
CLASSIFIED/TRAVELLING	1.0556142	0.38409805	0.3157422	9.449765	0.2188118	0.079997696	
CLASSIFIED/TRAVELLING	0.21651478	0.38397598	0.14507993	9.442411	0.059296455	0.0836195	
CLASSIFIED/TRAVELLING	0.27310112	9.575954	0.084149	6.776671	0.07514668	4.239728	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
